1.5,0.997495
1.55,0.999784
1.6,0.999574
1.65,0.996865
1.7,0.991665
1.75,0.983986
1.8,0.973848
1.85,0.961275
1.9,0.946300
1.95,0.928960
2.0,0.909297
2.05,0.887362
2.1,0.863209
2.15,0.836899
2.2,0.808496
2.25,0.778073
2.3,0.745705
2.35,0.711473
2.4,0.675463
2.45,0.637765
2.5,0.598472
2.55,0.557684
2.6,0.515501
2.65,0.472031
2.7,0.427380
2.75,0.381661
2.8,0.334988
2.85,0.287478
2.9,0.239249
2.95,0.190423
3.0,0.141120
3.05,0.091465
3.1,0.041581
3.15,-0.008407
3.2,-0.058374
3.25,-0.108195
3.3,-0.157746
3.35,-0.206902
3.4,-0.255541
3.45,-0.303542
3.5,-0.350783
3.55,-0.397148
3.6,-0.442520
3.65,-0.486787
3.7,-0.529836
3.75,-0.571561
3.8,-0.611858
3.85,-0.650625
3.9,-0.687766
3.95,-0.723188
4.0,-0.756802
4.05,-0.788525
4.1,-0.818277
4.15,-0.845984
4.2,-0.871576
4.25,-0.894989
4.3,-0.916166
4.35,-0.935053
4.4,-0.951602
4.45,-0.965773
4.5,-0.977530
4.55,-0.986844
4.6,-0.993691
4.65,-0.998054
4.7,-0.999923
4.75,-0.999293
4.8,-0.996165
4.85,-0.990547
4.9,-0.982453
4.95,-0.971903
5.0,-0.958924
5.05,-0.943549
5.1,-0.925815
5.15,-0.905767
5.2,-0.883455
5.25,-0.858934
5.3,-0.832267
5.35,-0.803520
5.4,-0.772764
5.45,-0.740077
5.5,-0.705540
5.55,-0.669240
5.6,-0.631267
5.65,-0.591716
5.7,-0.550686
5.75,-0.508279
5.8,-0.464602
5.85,-0.419764
5.9,-0.373877
5.95,-0.327055
6.0,-0.279415
6.05,-0.231078
6.1,-0.182163
6.15,-0.132792
6.2,-0.083089
6.25,-0.033179
6.3,0.016814
6.35,0.066765
6.4,0.116549
6.45,0.166042
6.5,0.215119
